ds,,count,hate_speech,offensive_language,neither,class,tweet,id
c,0,0,0,0,0,0,@timgw37 F* the #Welfare Thugs! #EndWelfare. They'll do Thug #Obama's 'jobs #Americans wont do' or ... Starve. #NoRefugees #DeportIllegals #CutBudget,8.77683375355679E+017
c,1,0,0,0,0,0,#RefugeeWeek. No thanks it's #refugeesNOTwelcome #NoRefugees today and every day at my house.,8.76831752496579E+017
c,2,0,0,0,0,0,Tell Patagonia to go back to Patagonia! Syrian Iran &amp; Mexico cannot take over America through 'Immigration'! #BanMuslims #Deport🇲🇽#ZeroDACA,8.76640842869428E+017
c,3,0,0,0,0,0,@FoxNewsResearch @toni_s_r_ #NoRefugees Keep USA safe!,8.77544443120935E+017
c,4,0,0,0,0,0,Some ministry. Bilk your neighbors  foist invaders on them get paid by US government! #RefugeesWelcome #refugeesNOTwelcome https://t.co/mDUrHtAVm0,8.75682077336797E+017
c,5,0,0,0,0,0,@RepGutierrez Once they're deported to their home country #NoAmnesty #NoRefugees No more dependents Jobs for citizens #NoSanctuaries #BuildTheWall,8.77650501864755E+017
c,6,0,0,0,0,0,TURN DOWN FOR WHAT!!! #REFUGEESNOTWELCOME https://t.co/o1gmVkD8Tb,8.77281620990071E+017
c,7,0,0,0,0,0,No to #propaganda 👎 More here: https://t.co/KxvY72CZ5d #MoreThanARefugee - true version #RefugeesNotWelcome https://t.co/3vYUCLiups,8.77572889788248E+017
c,8,0,0,0,0,0,@ChelseaClinton what a joke. Third worlders forced on us by your immigration policies bring ancient diseases back. #NoRefugees #rapefugees,8.77966875862479E+017
c,9,0,0,0,0,0,@foxnation #NoAmnesty #NoRefugees No more taxpayer-supported dependents Jobs for citizens Arrest sanctuary officials Deport ALL #illegals #BuildTheWall,8.7788587457024E+017
c,10,0,0,0,0,0,Courage. Resolve. Santity. Don't back down send them back. #RefugeesNotWelcome https://t.co/cta2hPVvOw,8.76900171560497E+017
c,11,0,0,0,0,0,@kwilli1046 #NoRefugees We do not want this in the USA! @realDonaldTrump @POTUS @jeffsessions @DHSgov  Stop refugees from entering USA now! #MASA,8.77946914242679E+017
c,12,0,0,0,0,0,RT @Raeilgh1: Stay in your own country and fight for or rebuild her!  #RefugeesNOTWelcome  :-) https://t.co/smD3DaWKEU,8.77800210243572E+017
c,13,0,0,0,0,0,@TwitterMoments Stay in your own safe spaces in Syria. #RefugeesNotWelcome,8.77171916070679E+017
c,14,0,0,0,0,0,@JaredoTexas #NoRefugees!!! #DeportIllegals... No #Deport them ALL !!! #AnchorBabies Too! #EndWelfare in #US,8.77693847773598E+017
c,15,0,0,0,0,0,RT @DVATW: Whilst deporting our enemies is welcome it would be best if we closed our borders to them in the first place! #Refugeesnotwelcome,8.7615138679432E+017
c,16,0,0,0,0,0,Letting them into the West is not the answer it is unsustainable short sighted and dangerous #WorldRefugeeDay #refugeesnotwelcome,8.77144576737366E+017
c,17,0,0,0,0,0,@politicshome HOPEFULLY EIGHT BILLS WILL BE ENOUGH BILLS! #Brexit WILL ALWAYS MEAN #Brexit! #QueensSpeech #refugeesNOTwelcome,8.77552878885405E+017
c,18,0,0,0,0,0,RT @LacyUnderal: TRASH! Somali MARRIES BROTHER TO GET INTO USA!!WTF? DON'T U GET IT? These ppl R GARBAGE #BanMuslims First Muslim So https:…,8.7677556786919E+017
c,19,0,0,0,0,0,@CM2ALAW @LATiffani1 Not welcome here until we can care for our own citizens. #NoRefugees #MuslimBan #MAGA,8.7793800268048E+017
c,20,0,0,0,0,0,RT @som_english: Our home is not your home. #refugeesnotwelcome. @stopislamization @FDW_VB https://t.co/k7l5oZ1HSs,8.77222114964713E+017
c,21,0,0,0,0,0,WE FOUGHT 2MAKE IT GREAT. STOP IMMIGRATION until we can get it under control weed out ILLEGALS expired visas. #DeportIllegals #BanMuslims https://t.co/EvgKt0KaRc,8.77263653019542E+017
c,22,0,0,0,0,0,"RT @AayatReborn: ""Islam has nothing to do with terrorism"" sounds like ""Shit has nothing to do with asshole""  #StopBeingMoron #BanIslam #Lon…",8.7791609429545E+017
c,23,0,0,0,0,0,RT @BuntySoftbunty: #WorldRefugeeDay Just let this sink in! #DiversityKills #MulticulturalismSucks #TheyHaveToGoBack #RefugeesNotWelcome ht…,8.77463017251844E+017
c,24,0,0,0,0,0,RT @GMA4Trump_: @American1765 @BelindaBee13 #Banmuslims #bansharialaw! That is the only answer!,8.77200455297679E+017
c,25,0,0,0,0,0,RT @Hannesz1956: TRUE!!! #stopislam #banislam #stopmuslimimmigration https://t.co/3OVK3dM5NB,8.77949382825574E+017
c,26,0,0,0,0,0,RT @JulietteIsabell: Assimilate? No they all need to go back to their own countries. #BanMuslims Sorry if someone disagrees too bad. Yes…,8.74684432090878E+017
c,27,0,0,0,0,0,RT @kategunn1776: It needs to be removed in the #USA too. #SCOTUS #usconstitution #banislam #bansharialaw #bluehand 8 U.S. Code § 1182 - In…,8.77945934298075E+017
c,28,0,0,0,0,0,RT @KSelvester: We must #BanShariaLaw #BanMuslims #BanFGM #BanHonorKillings #BanIslam https://t.co/daU7tG52tg,8.77793904866857E+017
c,29,0,0,0,0,0,RT @LacyUnderal: Makes ME SICK! U SHLD B WORRIED.#BanMuslims Islam is ILLEGAL! Unexpected US City Being WIPED OUT By Muslim Migrants https:…,8.7779047508795E+017
c,30,0,0,0,0,0,RT @Libby_Lael: Islam's true colors revealed. #BanIslam https://t.co/QxjBJ7WIjD,8.77940423527866E+017
c,31,0,0,0,0,0,RT @LibertyUSA1776: @HouseGOP @POTUS @TheWhiteHouse #NoRefugees Defund the The Refugee Act of 1980. Stop flooding America with potential te…,8.77674335745581E+017
c,32,0,0,0,0,0,RT @Nationalism4UK: It's #RefugeeWeek - where we celebrate traitorous NGOs smuggling fake refugees into our nations. #RefugeesNOTwelcome,8.76859158200496E+017
c,33,0,0,0,0,0,RT @RodStryker: STOP IMPORTING TERRORISTS! 🛇#NoRefugees🛇 #TravelBan✔ #ExtremeVetting✔ #LookAtLondonNow #NEVERFORGET911 #ObamaLegacy  https:…,8.77860620065939E+017
c,34,0,0,0,0,0,@mostevilgenius @BBCBreaking @POTUS @realDonaldTrump HOW MANY SO-CALLED 'REFUGEES' ARE YOU WILLING TO HOUSE YOU GENIUS IDIOT? #MAGA #refugeesNOTwelcome,8.77274008068207E+017
c,35,0,0,0,0,0,"#WorldRefugeeDay no thanks these ""refugees"" are ruining Europe and killing and raping mypeople so fuck off with this day #refugeesnotwelcome",8.77202410531435E+017
c,36,0,0,0,0,0,#UK Retrospective: 10 years of Islamic #terrorism in #Britain…  https://t.co/JeFKWhMKuU  #BanMuslims #IslamIsTheProblem  #WhiteGenocide #WN,8.75135309805224E+017
c,37,0,0,0,0,0,Maybe we should allow Shariah law for a test phase. Some good lessons can be taught.  😂 #BanIslam https://t.co/VOJAwGgqFd,8.77953246337184E+017
c,38,0,0,0,0,0,RT @mortinsonoffice: Spain was islamic for 800 years. But we got rid of the vermin #BanIslam https://t.co/75ujzjYuAH,8.77954874897453E+017
c,39,0,0,0,0,0,#Gay #Liberals: PLEASE READ THE #QUARAN THEN LET ME KNOW IF YOU CAN BE A MUSLIM…I'LL WAIT  #LGBT #LGBTQ #Gay #Queer #BanIslam #BanMuslims,8.75989863006339E+017
c,40,0,0,0,0,0,RT @SamInfidel: Today's Lesson On Islam: #DestroyIslam #IslamIsTheProblem #MyJihad #StopImportingIslam #CloseALLMosquesNOW #PigsBlood #Isla…,8.77610245282906E+017
c,41,0,0,0,0,0,RT @Condor_Law: @sassysassyred All I can say is: #banIslam #BanSharia #banMuslims #TravelBan - This has to be done by Congress. They'd bett…,8.77790439679689E+017
c,42,0,0,0,0,0,RT @Adjustedwell: STOP ALL MUSLIM IMMIGRATION TO AMERICA NOW OR YOUR CHILDREN WILL REGRET IT IN 20 YEARS .......  #BanIslam  No Refugees ..…,8.77963009196401E+017
c,43,0,0,0,0,0,@rezaaslan Just so you're aware... Americans kick back. #TrumpTrain #BanIslam #BanSharia #MAGA #LockedAndLoaded #RejectLiberalism,8.77943687744963E+017
c,44,0,0,0,0,0,Stop this shit now there is no time to wait or chat or let the liberals baffle you with Bullshit FIGHT FOR YOUR KIDS GROW A PAIR #Banmuslims https://t.co/vZQo8FqD5Y,8.76268329643778E+017
c,45,0,0,0,0,2,@CNN Always a lone wolf when its Muslim.  Every day #ramadan 2017 has given us a murder terror attach by stone age throwbacks.  #NoRefugees,8.77648625022759E+017
c,46,0,0,0,0,2,RT @US_Army_Vet5: #Gutsy Finn🇫🇮girl kicks ass on #Muslims ripping off her store! @christy_mcafee @RealDrGina #NoMuslims #NoIslam #USA🇺🇸http…,8.75155206807441E+017
c,47,0,0,0,0,0,#BanIslam#BanShariaLaw #BanMuslims #DeportALLMuslims #BuildTheWall#IslamisaCULT #IslamHATESwomen #IslamisEVIL #IslamisPEDOPHILIA#IslamHates https://t.co/jUpdfhdBof,8.77636524459778E+017
c,48,0,0,0,0,0,RT @SamInfidel: Today's Lesson On Islam: #IslamIsTheProblem #StopImportingIslam #StopMakingExcusesForIslam #DeportALLMuslims #NeverTrustAMu…,8.75183702367535E+017
c,49,0,0,0,0,0,RT kshw5678: #Trump #NoSharia #NoRefugees They do not support our values or our #Constitution #FGM #RobertsRooms https://t.co/ufFd0eRzuB,8.77917172294668E+017
c,50,0,0,0,0,0,RT @SamInfidel: Today's Lesson On Islam: #AcidAttacks #AgendaOfEvil #ThePlan #BanIslam #EnemyOfThePeople #MoslemsArentVictims #DeathCult #S…,8.77919021487735E+017
c,51,0,0,0,0,0,@TheRebelTV @FaithGoldy #Canada neighbor to #USA northern #border suddenly has a #MUSLIM PROBLEM..IMPORTED BY THEIR FEARLESS LEADER. #BANMUSLIMS #MAGA #TRUMPTRAIN,8.7587988778512E+017
c,52,0,0,0,0,0,These bastards are not welcome in my Country I will do anything to #KeepThemOut They are murders #BanIslam #BanMuslims #BanShariaLaw #BanFGM https://t.co/0G2Wdn9Zbw,8.75679723464118E+017
c,53,0,0,0,0,0,"@NetworksManager ""No need for your own kids if immigrants outbreed you""  I agree #BanIslam and everyone who does not condemn sharia. Leaders have to act NOW!",8.77893323825988E+017
c,54,0,0,0,0,0,RT @leslawpajek: Together we stand against #islamization of #Europe. #stopislam #islamiscancer #refugeesNOTwelcome https://t.co/kY4mK0eZZj,8.76151256640885E+017
c,55,0,0,0,0,2,Yet another peaceful gesture by our dear friends!! #BanMuslims  #banimmagration,8.765550688495E+017
c,56,0,0,0,0,0,RT @CivilUnrest21: Wars have been started for less How funny is it that Muslims think they're untainted @CAIR #BanIslam filthy beasts  #ma…,8.77902496185713E+017
c,57,0,0,0,0,0,RT @NetworksManager: Democracy cannot survive if islam is allowed to be practice. No democracy allowing islam survives. #MAGA #BanIslam htt…,8.77940445073949E+017
c,58,0,0,0,0,0,@THETRUMPBUREAU @AmyMek They want special treatment Go back 2 their own country  Demanding Charity It's no longer Charity #BanMuslims  #Minnesota,8.77182428518941E+017
c,59,0,0,0,0,0,Another friggen Muslim idiot attempting to push the narrative and failing! #banislam #cult! Unfortunate we don't have religious test! A-VI! https://t.co/k2w9ZqfD3b,8.77959967289991E+017
c,60,0,0,0,0,2,Finally a NYT article worth of sharing. #BANISLAM https://t.co/OLfF9qWFcz,8.7790744564061E+017
c,61,0,0,0,0,2,RT @NetizenNickster: #Norway raises threat level because that “religion of peace” is ever-so placid…  https://t.co/JL4nSDI5Qe  #BanMuslims…,8.77880132932821E+017
c,62,0,0,0,0,0,It DOES NOT HAVE TO REMAIN THIS WAY. REMOVE muslims #BanIslam  #BanMuslims. Protect YOUR OWN https://t.co/OZDj4qPbfp,8.77921299661599E+017
c,63,0,0,0,0,0,Together we stand against #islamization of #Europe. #stopislam #islamiscancer #refugeesNOTwelcome https://t.co/kY4mK0eZZj,8.76100665990316E+017
c,64,0,0,0,0,0,We have tried to make Liberals realize that Muslims do NOT like anyone who is NOT Muslim! Just look @ EU! #BanMuslims #BanIslam #bluehand https://t.co/kjex0j6qrd,8.77684460497629E+017
c,65,0,0,0,0,0,RT @KimwithpanacheG: 1500 Acid Attacks Recorded In London Since 2011 Thanks To The Religion Of Peace! #BANISLAM #BANREFUGEES #BANQURAN htt…,8.77891542580515E+017
c,66,0,0,0,0,0,@The_Keks_Army GOES FROM ZERO TO ALLUHA AKBAR IN 6 SECONDS!!!!!!!!!!!!!  #FinsburyPark  #BanMuslims  #IslamIsCancer  #GoBackToAfrica #GoBackToSyria #GetOut https://t.co/WuvSmHzIcL,8.76680808257475E+017
c,67,0,0,0,0,0,#MoreThanARefugee?!? More like #MoreThanEnoughRefugees #BanIslam #DeportAllMuslims #ReligionOfDeceit #ThisIsEuropa: https://t.co/nmxaKOOoGR https://t.co/KVu1YaxR40,8.77275959556264E+017
c,68,0,0,0,0,0,RT @KSelvester: A counter protest to this could only be about them hating us for OUTING THEM! #BanIslam #BanMuslims #BanFGM #BanShariaLaw #…,8.77791215860806E+017
c,69,0,0,0,0,0,RT @iwinwithtrump: Presenting quick facts about bacon: This is just for info and not to insult anyone. #BanIslam #BanSharia  https://t.co/6…,8.77924420496392E+017
c,70,0,0,0,0,0,@GeorgWebb Jesus they don't come here to be part of a growing society. They come to force their beliefs on us. Cheat our systems. #BanMuslims,8.77897888264667E+017
c,71,0,0,0,0,0,Why are ppl stooping to the low of terrorists?! U don't like em ban em don't run them over!!  #FinsburyPark  #BanMuslims,8.76601359889576E+017
c,72,0,0,0,0,0,Spain was islamic for 800 years. But we got rid of the vermin #BanIslam https://t.co/75ujzjYuAH,8.77936090983707E+017
c,73,0,0,0,0,0,@Pamela_Moore13 Yeah....: WILL NOT HAPPEN!!! #ShoveMuslimGoals #BanMuslims #BanShariaLaw You people need to go.. #AmericaIsNotMuslim  #NeverForget,8.75834670713381E+017
c,74,0,0,0,0,0,@ShehabKhan Um NO this isn't why. Islam and the west will never mix and it is time we fight fire with fire hold on could be a bumpy ride. #BANMUSLIMS,8.76781226941534E+017
c,75,0,0,0,0,0,Go in with armed militia and take them out.  These are not protests - they are openly admitted acts of war.  #banislam #islamistheproblem https://t.co/rWFOCnPkbL,8.77929612822667E+017
c,76,0,0,0,0,0,RT @SamInfidel: Today's Lesson On Islam: #IslamicHijrahClock #StopImportingIslam #STOPIslam #BanTheQuran #CloseALLMosquesNOW #BanIslam🕋☠️🌎📛…,8.77964080039903E+017
c,77,0,0,0,0,0,TRASH! Somali MARRIES BROTHER TO GET INTO USA!!WTF? DON'T U GET IT? These ppl R GARBAGE #BanMuslims First Muslim So https://t.co/Ov12m9tbHt,8.76684831865934E+017
c,78,0,0,0,0,0,@piersmorgan Add up every beheadingeveryone they burned in a cageevery death by a vehicle every IED zero compassion only jihad #DestroyIslam,8.77261833492627E+017
c,79,0,0,0,0,0,"1989 Press Conference in #France: ""Ask this gov't to stop Islam! Impossible to cohabit with them!"" https://t.co/endLwBjzik #BanIslam #MAGA https://t.co/DioTMi5w6Y",8.77926636489892E+017
c,80,0,0,0,0,0,"@realWiIIiam And these ""migrants"" are Arab Muslims.  #BanMuslims",8.75830672732107E+017
c,81,0,0,0,0,0,RT @elizabethwila: retweet if you agree #banIslam #BanMuslims #BanSharia https://t.co/O25qk9TCYN,8.75861264668426E+017
c,82,0,0,0,0,0,RT @american_rebel7: @Lrihendry I say F🇺🇸K yea 🇺🇸MURICA🇺🇸 #BanIslam #BanMuslims  #BanSharia https://t.co/b4iGWnws34,8.77790410877399E+017
c,83,0,0,0,0,0,@ACLJ Christians are the ONLY REFUGEES we should be accepting. #BanIslam #BanMuslimRefugees no need for geopolitical ideology in USA,8.77918099277742E+017
c,84,0,0,0,0,0,RT @SamInfidel: Today's Lesson On Islam: #IslamExposed #AllahuAkbar #AnotherMohammed #BanIslam #DeathCult #StopImportingIslam #CloseALLMosq…,8.77897737513169E+017
c,85,0,0,0,0,0,RT @cristiny1: @kwilli1046 #NoRefugees We do not want this in the USA! @realDonaldTrump @POTUS @jeffsessions @DHSgov  Stop refugees from en…,8.77947701794488E+017
c,86,0,0,0,0,0,#drivethemout 🆘‼️😯🔥 Happy #Ramadan Bombathon 2017 - on the 27th Day! An increase in fatalities of 0.8% compared to the day before #banislam,8.77943189465846E+017
c,87,0,0,0,0,0,3rd world Flint attacker was a legal immigrant one more reason to #deportallmuslims.,8.77665922378551E+017
c,88,0,0,0,0,0,#isalm is a cancer on western society.  so long as one islamist remains amongst us we will not be safe  Drive them out. #destroyislam,8.76932890931737E+017
c,89,0,0,0,0,0,@ANOMALY1 We must keep Islam out of our schools our homes &amp; our country!  #BanIslam #BanSharia #MAGA #IStandWithIsrael #HisNameWasSethRich,8.77933727229375E+017
c,90,0,0,0,0,0,"@EngageTheRebels 1989 Press Conference in #France: ""Ask this gov't to stop Islam! Impossible to cohabit with them!"" https://t.co/endLwBjzik  #BanIslam #MAGA",8.77926843306791E+017
c,91,0,0,0,0,0,RT @sparks1017: I think Patriots can get together and do it much cheaper!! #BanMuslims #IslamIsDeath https://t.co/0fvyvOQHap,8.77791093915398E+017
c,92,0,0,0,0,0,RT @Gatortrapper: @SethAMandel @DMashak If only they would leave the country.... #NoMuslims,8.77122312096625E+017
c,93,0,0,0,0,0,RT @OwenMeeny: By any definition Islam is a medieval cult #Banislam #UKelection #cdnpoli #BanTheMuslimBrotherHood #insanity  https://t.co/…,8.77939425598034E+017
c,94,0,0,0,0,0,RT @redneckcatlover: What's the name of the car hire company? Ram-A-Van-4-Ramadan? #BanMuslims #FinsburyPark #MosqueWasISIS #JonesVKelly #C…,8.7661383972234E+017
c,95,0,0,0,0,0,But they're so kind and peaceful. And monkeys may fly out of my butt. #MuslimBan #MASA #2A  #TravelBan #BanSharia #BanIslam https://t.co/KyZzSlbW6o,8.77912435650208E+017
c,96,0,0,0,0,0,What the HELL is WRONG WITH PPL? MUSLIMs do NOT give you Immortality? WHY Do YOU PROTECT THEM WHEN THEY WANT TO KILL YOU? #BanIslam #Deport https://t.co/y6mnvRnIsG,8.77961282023957E+017
